City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
477,rosalie,15.3667,-61.2667,87.35,66,20,8.05,DM,1689969499
478,cabedelo,-6.9811,-34.8339,81.27,74,0,16.98,BR,1689969499
479,el hadjira,32.6134,5.5126,105.21,9,0,9.22,DZ,1689969499
480,maumere,-8.6199,122.2111,76.03,79,31,8.46,ID,1689969500
481,roma,43.2128,-75.4557,75.72,68,75,11.5,US,1689969420
482,colonia,50.9333,6.95,64.63,65,0,9.22,DE,1689969495
483,razampeta,14.1833,79.1667,82.99,63,100,17.49,IN,1689969501
484,baile herculane,44.8797,22.4125,73.62,67,53,4.54,RO,1689969501
485,sarpol-e zahab,34.4611,45.8626,89.58,10,0,6.24,IR,1689969501
486,kollo,13.3043,2.339,81.03,44,100,2.35,NE,1689969502
487,pudasjarvi,65.3833,26.9167,53.47,97,100,2.57,FI,1689969502
488,zhangye,38.9342,100.4517,71.85,24,2,5.61,CN,1689969502
489,hami,42.8,93.45,84.13,17,11,12.12,CN,1689969503
490,petrozavodsk,61.7849,34.3469,53.06,100,100,6.71,RU,1689969503
491,zykovo,55.9519,93.1461,57.99,94,92,3.15,RU,1689969503
492,bela vista,-22.1089,-56.5211,90.82,28,1,9.62,BR,1689969504
493,hengchun,22.0042,120.7439,81.77,81,88,10.45,TW,1689969504
494,hibbing,47.4272,-92.9377,81.43,44,40,4.61,US,1689969504
495,lockwood,45.8191,-108.4149,90.41,28,20,4.61,US,1689969504
496,puerto lempira,15.2667,-83.7667,89.74,62,40,11.5,HN,1689969505
497,quimili,-27.6333,-62.4167,93.11,24,75,23.49,AR,1689969505
498,estevan,49.1334,-102.9842,82.6,34,20,8.05,CA,1689969505
499,aswan,24.0934,32.907,101.5,9,0,6.91,EG,1689969506
500,namtsy,62.7161,129.6658,56.28,60,0,11.43,RU,1689969506
501,labytnangi,66.6572,66.4183,64.78,88,100,4.7,RU,1689969506
502,gaspe,48.8334,-64.4819,75.42,64,20,12.66,CA,1689969483
503,kurumkan,54.3,110.3,59.81,62,74,3.94,RU,1689969507
504,ringkobing,56.0901,8.244,55.02,86,100,10.56,DK,1689969508
505,arkhangel'sk,64.5401,40.5433,60.01,96,100,4.5,RU,1689969407
506,broken hill,-31.95,141.4333,42.28,69,3,4.0,AU,1689969311
507,mount darwin,-16.7725,31.5838,57.67,71,11,6.4,ZW,1689969509
508,fort william,56.8165,-5.1121,56.3,85,100,3.44,GB,1689969509
509,chukhloma,58.7525,42.6825,53.04,86,14,6.93,RU,1689969509
510,el obeid,13.1842,30.2167,80.1,62,98,16.11,SD,1689969510
511,khandyga,62.6667,135.6,54.43,96,100,2.26,RU,1689969510
512,frontera,26.9333,-101.45,98.33,39,0,7.0,MX,1689969510
513,galesong,-5.3166,119.3661,75.22,83,11,8.5,ID,1689969510
514,st. john's,47.5649,-52.7093,83.59,57,20,10.36,CA,1689969511
515,dok kham tai,19.1624,99.9934,74.46,96,95,0.4,TH,1689969511
516,waingapu,-9.6567,120.2641,72.88,80,31,11.25,ID,1689969511
517,martuk,50.7475,56.5056,68.56,48,99,3.2,KZ,1689969512
518,pechora,65.1472,57.2244,60.64,90,91,3.02,RU,1689969512
519,kenora,49.8167,-94.4337,77.97,53,40,8.05,CA,1689969440
520,malvan,16.0667,73.4667,79.32,87,100,23.06,IN,1689969512
521,banamba,13.55,-7.45,81.41,64,90,11.03,ML,1689969513
522,dodoma,-6.1722,35.7395,69.71,60,0,5.75,TZ,1689969454
523,xiaoweizhai,26.1903,107.5125,72.05,99,100,3.31,CN,1689969513
524,gorele,41.0308,39.0031,71.17,80,0,4.94,TR,1689969514
525,dryden,49.7833,-92.7503,77.29,41,0,12.66,CA,1689969514
526,carnarvon,-24.8667,113.6333,58.14,35,0,22.17,AU,1689969514
527,ulladulla,-35.35,150.4667,47.16,60,65,6.24,AU,1689969515
528,paracuru,-3.41,-39.0306,82.11,62,2,14.74,BR,1689969515
529,falmouth,50.1544,-5.0711,61.7,79,40,6.91,GB,1689969515
530,santa cruz,-17.8,-63.1667,87.26,45,20,23.02,BO,1689969516
531,punta alta,-38.8759,-62.0736,60.08,52,100,8.08,AR,1689969484
532,kayyerkan,69.3786,87.7439,67.3,68,100,9.13,RU,1689969516
533,okhotsk,59.3833,143.3,55.89,93,98,5.26,RU,1689969517
534,masterton,-40.9597,175.6575,42.89,93,99,6.69,NZ,1689969517
535,walvis bay,-22.9575,14.5053,54.55,94,0,6.91,NA,1689969517
536,palikir - national government center,6.9248,158.1611,81.32,81,100,19.13,FM,1689969518
537,birao,10.2849,22.7882,79.12,71,9,3.22,CF,1689969518
538,san rafael del sur,11.8485,-86.4384,88.77,51,56,14.7,NI,1689969518
539,mersrags,57.3354,23.1246,57.38,77,8,11.56,LV,1689969519
540,childress,34.4264,-100.204,89.85,37,0,12.66,US,1689969249
541,papao,-17.75,-149.55,78.48,60,5,11.9,PF,1689969520
542,shache,38.4167,77.2406,84.7,29,73,19.48,CN,1689969520
543,flying fish cove,-10.4217,105.6791,74.88,83,75,14.97,CX,1689969520
544,bokajan,26.0167,93.7833,78.35,92,100,1.59,IN,1689969521
545,saint-pierre,-21.3393,55.4781,71.28,73,75,8.05,RE,1689969521
546,khargone,21.8167,75.6,78.71,91,100,8.81,IN,1689969521
547,villa bruzual,9.3328,-69.1208,80.92,87,100,3.04,VE,1689969522
548,merizo village,13.2658,144.6691,82.96,92,100,11.12,GU,1689969522
549,yanchep,-31.55,115.6833,53.73,87,31,5.3,AU,1689969522
550,zahedan,29.4963,60.8629,84.11,18,96,4.61,IR,1689969522
551,kuanda,56.3161,116.0806,53.85,79,18,1.23,RU,1689969523
552,chirilagua,13.2203,-88.1386,95.54,39,31,4.05,SV,1689969523
553,lodja,-3.4833,23.4333,82.31,40,76,0.72,CD,1689969523
554,toktogul,41.8708,72.9402,73.81,48,3,1.32,KG,1689969524
555,belyy yar,53.6039,91.3903,60.69,94,0,2.24,RU,1689969524
556,saint-joseph,-21.3667,55.6167,70.18,84,44,13.27,RE,1689969524
557,naters,46.3254,7.9891,66.79,94,47,5.84,CH,1689969524
558,black point,-34.6187,137.8972,50.25,87,15,11.05,AU,1689969525
559,lebyazh'ye,55.2689,66.4947,57.29,90,66,9.6,RU,1689969525
560,hobyo,5.3505,48.5268,78.48,84,100,26.06,SO,1689969525
561,gao,16.6362,1.637,93.52,35,54,16.51,ML,1689969526
562,bengkulu,-3.8004,102.2655,76.24,92,45,7.02,ID,1689969526
